BubbleSort : comps[47544], swaps[69830]
BubbleSort : comps[47696], swaps[68619]
BubbleSort : comps[48706], swaps[71713]
BubbleSort : comps[49445], swaps[74459]
BubbleSort : comps[50103], swaps[74421]
BubbleSort : comps[50005], swaps[75775]
BubbleSort : comps[51671], swaps[78539]
BubbleSort : comps[51051], swaps[75213]
BubbleSort : comps[52540], swaps[78568]
BubbleSort : comps[53163], swaps[78692]
BubbleSort : comps[53465], swaps[78534]
BubbleSort : comps[54000], swaps[75898]
BubbleSort : comps[54708], swaps[82316]
BubbleSort : comps[55719], swaps[81144]
BubbleSort : comps[56700], swaps[88114]
BubbleSort : comps[57615], swaps[85043]
BubbleSort : comps[57750], swaps[92919]
BubbleSort : comps[58968], swaps[90532]
BubbleSort : comps[59649], swaps[82757]
BubbleSort : comps[60333], swaps[90957]
BubbleSort : comps[60984], swaps[91786]
BubbleSort : comps[61605], swaps[90698]
BubbleSort : comps[61701], swaps[89328]
BubbleSort : comps[62560], swaps[94588]
BubbleSort : comps[63767], swaps[92084]
BubbleSort : comps[64410], swaps[99612]
BubbleSort : comps[65341], swaps[101239]
BubbleSort : comps[66038], swaps[97268]
BubbleSort : comps[66330], swaps[94098]
BubbleSort : comps[67228], swaps[98605]
BubbleSort : comps[68145], swaps[100109]
BubbleSort : comps[68985], swaps[104628]
BubbleSort : comps[69255], swaps[99457]
BubbleSort : comps[70200], swaps[110969]
BubbleSort : comps[70953], swaps[110307]
BubbleSort : comps[71974], swaps[110533]
BubbleSort : comps[72635], swaps[106103]
BubbleSort : comps[73130], swaps[112341]
BubbleSort : comps[73777], swaps[111172]
BubbleSort : comps[74802], swaps[116570]
BubbleSort : comps[75845], swaps[113364]
BubbleSort : comps[76230], swaps[111541]
BubbleSort : comps[77355], swaps[112667]
BubbleSort : comps[78057], swaps[112947]
BubbleSort : comps[78958], swaps[115525]
BubbleSort : comps[79722], swaps[117326]
BubbleSort : comps[80195], swaps[118725]
BubbleSort : comps[81351], swaps[120493]
BubbleSort : comps[82149], swaps[126758]
BubbleSort : comps[82937], swaps[127758]
BubbleSort : comps[83569], swaps[121492]
BubbleSort : comps[84260], swaps[131900]
BubbleSort : comps[84995], swaps[131769]
BubbleSort : comps[86215], swaps[133300]
BubbleSort : comps[86828], swaps[137198]
BubbleSort : comps[87800], swaps[129390]
BubbleSort : comps[87885], swaps[129127]
BubbleSort : comps[89556], swaps[124406]
BubbleSort : comps[89895], swaps[129528]
BubbleSort : comps[91225], swaps[138184]
BubbleSort : comps[91532], swaps[135287]
BubbleSort : comps[92501], swaps[135132]
BubbleSort : comps[93331], swaps[135313]
BubbleSort : comps[94050], swaps[150866]
BubbleSort : comps[95612], swaps[141903]
BubbleSort : comps[96145], swaps[146887]
BubbleSort : comps[96900], swaps[142094]
BubbleSort : comps[98318], swaps[145944]
BubbleSort : comps[99214], swaps[154333]
BubbleSort : comps[100062], swaps[142907]
BubbleSort : comps[100464], swaps[154191]
BubbleSort : comps[100936], swaps[150349]
BubbleSort : comps[102506], swaps[161204]
BubbleSort : comps[103415], swaps[156996]
BubbleSort : comps[104400], swaps[151774]
BubbleSort : comps[105417], swaps[150083]
BubbleSort : comps[106338], swaps[173115]
BubbleSort : comps[107010], swaps[162481]
BubbleSort : comps[107355], swaps[158084]
BubbleSort : comps[108417], swaps[154665]
BubbleSort : comps[110205], swaps[163087]
BubbleSort : comps[111090], swaps[171302]
BubbleSort : comps[111435], swaps[158487]
BubbleSort : comps[112615], swaps[163042]
BubbleSort : comps[113912], swaps[169142]
BubbleSort : comps[114729], swaps[173520]
BubbleSort : comps[115018], swaps[176377]
BubbleSort : comps[116733], swaps[175211]
BubbleSort : comps[117750], swaps[178581]
BubbleSort : comps[118267], swaps[180178]
BubbleSort : comps[118094], swaps[178484]
BubbleSort : comps[119301], swaps[179868]
BubbleSort : comps[121176], swaps[179434]
BubbleSort : comps[122570], swaps[185129]
BubbleSort : comps[122268], swaps[176469]
BubbleSort : comps[124372], swaps[192058]
BubbleSort : comps[124575], swaps[187583]
BubbleSort : comps[126321], swaps[194640]
BubbleSort : comps[127387], swaps[196183]
BubbleSort : comps[128112], swaps[193433]
BubbleSort : comps[129129], swaps[194979]
BubbleSort : comps[130516], swaps[198442]
BubbleSort : comps[131516], swaps[211556]
BubbleSort : comps[132204], swaps[197967]
BubbleSort : comps[133672], swaps[204319]
BubbleSort : comps[134820], swaps[205199]
BubbleSort : comps[135681], swaps[206049]
BubbleSort : comps[136998], swaps[201124]
BubbleSort : comps[137939], swaps[206669]
BubbleSort : comps[138852], swaps[215385]
BubbleSort : comps[139860], swaps[212734]
BubbleSort : comps[141075], swaps[203450]
BubbleSort : comps[140880], swaps[223947]
BubbleSort : comps[143227], swaps[220855]
BubbleSort : comps[144398], swaps[215627]
BubbleSort : comps[145452], swaps[212937]
BubbleSort : comps[145233], swaps[217450]
BubbleSort : comps[147486], swaps[226289]
BubbleSort : comps[146955], swaps[210393]
BubbleSort : comps[148843], swaps[219133]
BubbleSort : comps[150765], swaps[221072]
BubbleSort : comps[151751], swaps[229932]
BubbleSort : comps[153103], swaps[234730]
BubbleSort : comps[154185], swaps[237983]
BubbleSort : comps[154773], swaps[229029]
BubbleSort : comps[156289], swaps[236122]
BubbleSort : comps[157550], swaps[233489]
BubbleSort : comps[158063], swaps[230760]
BubbleSort : comps[159685], swaps[239998]
BubbleSort : comps[160433], swaps[243941]
BubbleSort : comps[162137], swaps[248802]
BubbleSort : comps[162081], swaps[250696]
BubbleSort : comps[164261], swaps[240197]
BubbleSort : comps[164169], swaps[242013]
BubbleSort : comps[165042], swaps[249082]
BubbleSort : comps[167907], swaps[247721]
BubbleSort : comps[168210], swaps[240546]
BubbleSort : comps[170005], swaps[259462]
BubbleSort : comps[171350], swaps[250523]
BubbleSort : comps[171402], swaps[277977]
BubbleSort : comps[172975], swaps[258010]
BubbleSort : comps[172983], swaps[255776]
BubbleSort : comps[173706], swaps[251697]
BubbleSort : comps[177139], swaps[270268]
BubbleSort : comps[178467], swaps[279104]
BubbleSort : comps[179070], swaps[267504]
BubbleSort : comps[180765], swaps[274441]
BubbleSort : comps[181896], swaps[276077]
BubbleSort : comps[180465], swaps[272256]
BubbleSort : comps[182317], swaps[271774]
BubbleSort : comps[185184], swaps[279554]
BubbleSort : comps[186371], swaps[286770]
BubbleSort : comps[187371], swaps[274057]
BubbleSort : comps[187709], swaps[276935]
BubbleSort : comps[190598], swaps[284847]
BubbleSort : comps[191854], swaps[305452]
BubbleSort : comps[192960], swaps[289709]
BubbleSort : comps[194285], swaps[288420]
BubbleSort : comps[195160], swaps[290404]
BubbleSort : comps[196553], swaps[297668]
BubbleSort : comps[197982], swaps[299814]
BubbleSort : comps[199243], swaps[315868]
BubbleSort : comps[199436], swaps[312920]
BubbleSort : comps[199850], swaps[305400]
BubbleSort : comps[202797], swaps[310498]
BubbleSort : comps[204270], swaps[311252]
BubbleSort : comps[205020], swaps[300570]
BubbleSort : comps[205720], swaps[294412]
BubbleSort : comps[207839], swaps[301637]
BubbleSort : comps[209375], swaps[325260]
BubbleSort : comps[210754], swaps[312166]
BubbleSort : comps[211560], swaps[326489]
BubbleSort : comps[213321], swaps[312450]
BubbleSort : comps[214245], swaps[315442]
BubbleSort : comps[215900], swaps[306194]
BubbleSort : comps[217035], swaps[331761]
BubbleSort : comps[218671], swaps[321595]
BubbleSort : comps[219170], swaps[322133]
BubbleSort : comps[221192], swaps[332991]
BubbleSort : comps[222372], swaps[319303]
BubbleSort : comps[223169], swaps[335060]
BubbleSort : comps[224676], swaps[337425]
BubbleSort : comps[225625], swaps[340261]
BubbleSort : comps[227715], swaps[337715]
BubbleSort : comps[228837], swaps[315198]
BubbleSort : comps[229534], swaps[360844]
BubbleSort : comps[231318], swaps[351812]
BubbleSort : comps[231816], swaps[330837]
BubbleSort : comps[233965], swaps[362440]
BubbleSort : comps[235893], swaps[336416]
BubbleSort : comps[237600], swaps[357594]
BubbleSort : comps[239020], swaps[362650]
BubbleSort : comps[240281], swaps[355304]
BubbleSort : comps[240825], swaps[350898]
BubbleSort : comps[242172], swaps[366124]
BubbleSort : comps[244514], swaps[368168]
BubbleSort : comps[246041], swaps[367359]
BubbleSort : comps[246636], swaps[363568]
BubbleSort : comps[248487], swaps[379445]
BubbleSort : comps[249782], swaps[366645]
