SelectSort : comps[496], swaps[145]
SelectSort : comps[561], swaps[161]
SelectSort : comps[630], swaps[171]
SelectSort : comps[703], swaps[184]
SelectSort : comps[780], swaps[197]
SelectSort : comps[861], swaps[195]
SelectSort : comps[946], swaps[211]
SelectSort : comps[1035], swaps[218]
SelectSort : comps[1128], swaps[228]
SelectSort : comps[1225], swaps[235]
SelectSort : comps[1326], swaps[248]
SelectSort : comps[1431], swaps[261]
SelectSort : comps[1540], swaps[268]
SelectSort : comps[1653], swaps[275]
SelectSort : comps[1770], swaps[291]
SelectSort : comps[1891], swaps[301]
SelectSort : comps[2016], swaps[308]
SelectSort : comps[2145], swaps[315]
SelectSort : comps[2278], swaps[316]
SelectSort : comps[2415], swaps[338]
SelectSort : comps[2556], swaps[348]
SelectSort : comps[2701], swaps[361]
SelectSort : comps[2850], swaps[368]
SelectSort : comps[3003], swaps[381]
SelectSort : comps[3160], swaps[391]
SelectSort : comps[3321], swaps[398]
SelectSort : comps[3486], swaps[396]
SelectSort : comps[3655], swaps[418]
SelectSort : comps[3828], swaps[419]
SelectSort : comps[4005], swaps[441]
SelectSort : comps[4186], swaps[448]
SelectSort : comps[4371], swaps[464]
SelectSort : comps[4560], swaps[447]
SelectSort : comps[4753], swaps[484]
SelectSort : comps[4950], swaps[485]
CrdSys::draw dataY.at(i) = 1CrdSys::draw dataY.at(i) = 5CrdSys::draw dataY.at(i) = 12CrdSys::draw dataY.at(i) = 23CrdSys::draw dataY.at(i) = 35CrdSys::draw dataY.at(i) = 53CrdSys::draw dataY.at(i) = 67CrdSys::draw dataY.at(i) = 79CrdSys::draw dataY.at(i) = 92CrdSys::draw dataY.at(i) = 119CrdSys::draw dataY.at(i) = 119CrdSys::draw dataY.at(i) = 147CrdSys::draw dataY.at(i) = 175CrdSys::draw dataY.at(i) = 184CrdSys::draw dataY.at(i) = 204CrdSys::draw dataY.at(i) = 230CrdSys::draw dataY.at(i) = 227CrdSys::draw dataY.at(i) = 260CrdSys::draw dataY.at(i) = 267CrdSys::draw dataY.at(i) = 294CrdSys::draw dataY.at(i) = 320CrdSys::draw dataY.at(i) = 335CrdSys::draw dataY.at(i) = 354CrdSys::draw dataY.at(i) = 368CrdSys::draw dataY.at(i) = 386CrdSys::draw dataY.at(i) = 430CrdSys::draw dataY.at(i) = 440CrdSys::draw dataY.at(i) = 467CrdSys::draw dataY.at(i) = 469CrdSys::draw dataY.at(i) = 468CrdSys::draw dataY.at(i) = 527CrdSys::draw dataY.at(i) = 550CrdSys::draw dataY.at(i) = 567CrdSys::draw dataY.at(i) = 600CrdSys::draw dataY.at(i) = 600CrdSys::draw dataY.at(i) = 595CrdSys::draw dataY.at(i) = 655CrdSys::draw dataY.at(i) = 671CrdSys::draw dataY.at(i) = 696CrdSys::draw dataY.at(i) = 692CrdSys::draw dataY.at(i) = 723CrdSys::draw dataY.at(i) = 767CrdSys::draw dataY.at(i) = 753CrdSys::draw dataY.at(i) = 772CrdSys::draw dataY.at(i) = 827CrdSys::draw dataY.at(i) = 854CrdSys::draw dataY.at(i) = 844CrdSys::draw dataY.at(i) = 849CrdSys::draw dataY.at(i) = 882CrdSys::draw dataY.at(i) = 910CrdSys::draw dataY.at(i) = 4CrdSys::draw dataY.at(i) = 19CrdSys::draw dataY.at(i) = 33CrdSys::draw dataY.at(i) = 50CrdSys::draw dataY.at(i) = 60CrdSys::draw dataY.at(i) = 91CrdSys::draw dataY.at(i) = 116CrdSys::draw dataY.at(i) = 135CrdSys::draw dataY.at(i) = 130CrdSys::draw dataY.at(i) = 192CrdSys::draw dataY.at(i) = 203CrdSys::draw dataY.at(i) = 264CrdSys::draw dataY.at(i) = 288CrdSys::draw dataY.at(i) = 372CrdSys::draw dataY.at(i) = 389CrdSys::draw dataY.at(i) = 431CrdSys::draw dataY.at(i) = 451CrdSys::draw dataY.at(i) = 483CrdSys::draw dataY.at(i) = 517CrdSys::draw dataY.at(i) = 697CrdSys::draw dataY.at(i) = 663CrdSys::draw dataY.at(i) = 726CrdSys::draw dataY.at(i) = 766CrdSys::draw dataY.at(i) = 851CrdSys::draw dataY.at(i) = 883CrdSys::draw dataY.at(i) = 910CrdSys::draw dataY.at(i) = 1062CrdSys::draw dataY.at(i) = 1008CrdSys::draw dataY.at(i) = 979CrdSys::draw dataY.at(i) = 1258CrdSys::draw dataY.at(i) = 1268CrdSys::draw dataY.at(i) = 1464CrdSys::draw dataY.at(i) = 1547CrdSys::draw dataY.at(i) = 1454CrdSys::draw dataY.at(i) = 1550CrdSys::draw dataY.at(i) = 1789CrdSys::draw dataY.at(i) = 1829CrdSys::draw dataY.at(i) = 1989CrdSys::draw dataY.at(i) = 1789CrdSys::draw dataY.at(i) = 2029CrdSys::draw dataY.at(i) = 2211CrdSys::draw dataY.at(i) = 2101CrdSys::draw dataY.at(i) = 2232CrdSys::draw dataY.at(i) = 2626CrdSys::draw dataY.at(i) = 2451CrdSys::draw dataY.at(i) = 2544CrdSys::draw dataY.at(i) = 2809CrdSys::draw dataY.at(i) = 2717CrdSys::draw dataY.at(i) = 2979CrdSys::draw dataY.at(i) = 3172CrdSys::draw dataY.at(i) = 1CrdSys::draw dataY.at(i) = 5CrdSys::draw dataY.at(i) = 12CrdSys::draw dataY.at(i) = 25CrdSys::draw dataY.at(i) = 45CrdSys::draw dataY.at(i) = 66CrdSys::draw dataY.at(i) = 81CrdSys::draw dataY.at(i) = 120CrdSys::draw dataY.at(i) = 152CrdSys::draw dataY.at(i) = 190CrdSys::draw dataY.at(i) = 186CrdSys::draw dataY.at(i) = 231CrdSys::draw dataY.at(i) = 322CrdSys::draw dataY.at(i) = 368CrdSys::draw dataY.at(i) = 407CrdSys::draw dataY.at(i) = 493CrdSys::draw dataY.at(i) = 506CrdSys::draw dataY.at(i) = 615CrdSys::draw dataY.at(i) = 648CrdSys::draw dataY.at(i) = 770CrdSys::draw dataY.at(i) = 783CrdSys::draw dataY.at(i) = 931CrdSys::draw dataY.at(i) = 1034CrdSys::draw dataY.at(i) = 1062CrdSys::draw dataY.at(i) = 1215CrdSys::draw dataY.at(i) = 1305CrdSys::draw dataY.at(i) = 1295CrdSys::draw dataY.at(i) = 1512CrdSys::draw dataY.at(i) = 1643CrdSys::draw dataY.at(i) = 1704CrdSys::draw dataY.at(i) = 1836CrdSys::draw dataY.at(i) = 2015CrdSys::draw dataY.at(i) = 2109CrdSys::draw dataY.at(i) = 2250CrdSys::draw dataY.at(i) = 2387CrdSys::draw dataY.at(i) = 2556CrdSys::draw dataY.at(i) = 2673CrdSys::draw dataY.at(i) = 2850CrdSys::draw dataY.at(i) = 2832CrdSys::draw dataY.at(i) = 3124CrdSys::draw dataY.at(i) = 3243CrdSys::draw dataY.at(i) = 3485CrdSys::draw dataY.at(i) = 3564CrdSys::draw dataY.at(i) = 3800CrdSys::draw dataY.at(i) = 3774CrdSys::draw dataY.at(i) = 4120CrdSys::draw dataY.at(i) = 4200CrdSys::draw dataY.at(i) = 4455CrdSys::draw dataY.at(i) = 4753CrdSys::draw dataY.at(i) = 4935CrdSys::draw dataY.at(i) = 4CrdSys::draw dataY.at(i) = 14CrdSys::draw dataY.at(i) = 21CrdSys::draw dataY.at(i) = 55CrdSys::draw dataY.at(i) = 110CrdSys::draw dataY.at(i) = 114CrdSys::draw dataY.at(i) = 187CrdSys::draw dataY.at(i) = 269CrdSys::draw dataY.at(i) = 234CrdSys::draw dataY.at(i) = 403CrdSys::draw dataY.at(i) = 341CrdSys::draw dataY.at(i) = 435CrdSys::draw dataY.at(i) = 469CrdSys::draw dataY.at(i) = 638CrdSys::draw dataY.at(i) = 744CrdSys::draw dataY.at(i) = 628CrdSys::draw dataY.at(i) = 1043CrdSys::draw dataY.at(i) = 876CrdSys::draw dataY.at(i) = 1024CrdSys::draw dataY.at(i) = 1253CrdSys::draw dataY.at(i) = 1380CrdSys::draw dataY.at(i) = 1750CrdSys::draw dataY.at(i) = 1445CrdSys::draw dataY.at(i) = 1587CrdSys::draw dataY.at(i) = 1738CrdSys::draw dataY.at(i) = 1925CrdSys::draw dataY.at(i) = 1887CrdSys::draw dataY.at(i) = 2158CrdSys::draw dataY.at(i) = 2381CrdSys::draw dataY.at(i) = 2760CrdSys::draw dataY.at(i) = 2659CrdSys::draw dataY.at(i) = 3128CrdSys::draw dataY.at(i) = 3351CrdSys::draw dataY.at(i) = 3670CrdSys::draw dataY.at(i) = 3782CrdSys::draw dataY.at(i) = 4689CrdSys::draw dataY.at(i) = 3790CrdSys::draw dataY.at(i) = 4721CrdSys::draw dataY.at(i) = 4728CrdSys::draw dataY.at(i) = 4777CrdSys::draw dataY.at(i) = 5096CrdSys::draw dataY.at(i) = 6015CrdSys::draw dataY.at(i) = 1CrdSys::draw dataY.at(i) = 4CrdSys::draw dataY.at(i) = 7CrdSys::draw dataY.at(i) = 23CrdSys::draw dataY.at(i) = 38CrdSys::draw dataY.at(i) = 35CrdSys::draw dataY.at(i) = 42CrdSys::draw dataY.at(i) = 64CrdSys::draw dataY.at(i) = 79CrdSys::draw dataY.at(i) = 92CrdSys::draw dataY.at(i) = 150CrdSys::draw dataY.at(i) = 163CrdSys::draw dataY.at(i) = 185CrdSys::draw dataY.at(i) = 201CrdSys::draw dataY.at(i) = 265CrdSys::draw dataY.at(i) = 251CrdSys::draw dataY.at(i) = 277CrdSys::draw dataY.at(i) = 319CrdSys::draw dataY.at(i) = 461CrdSys::draw dataY.at(i) = 441CrdSys::draw dataY.at(i) = 559CrdSys::draw dataY.at(i) = 531CrdSys::draw dataY.at(i) = 487CrdSys::draw dataY.at(i) = 608CrdSys::draw dataY.at(i) = 676CrdSys::draw dataY.at(i) = 670CrdSys::draw dataY.at(i) = 699CrdSys::draw dataY.at(i) = 775CrdSys::draw dataY.at(i) = 941CrdSys::draw dataY.at(i) = 956CrdSys::draw dataY.at(i) = 953CrdSys::draw dataY.at(i) = 924CrdSys::draw dataY.at(i) = 1100CrdSys::draw dataY.at(i) = 1123CrdSys::draw dataY.at(i) = 1357CrdSys::draw dataY.at(i) = 1286CrdSys::draw dataY.at(i) = 1275CrdSys::draw dataY.at(i) = 1473CrdSys::draw dataY.at(i) = 1625CrdSys::draw dataY.at(i) = 1800CrdSys::draw dataY.at(i) = 1652CrdSys::draw dataY.at(i) = 1698CrdSys::draw dataY.at(i) = 1876CrdSys::draw dataY.at(i) = 2064CrdSys::draw dataY.at(i) = 1857CrdSys::draw dataY.at(i) = 2003CrdSys::draw dataY.at(i) = 2234CrdSys::draw dataY.at(i) = 2469CrdSys::draw dataY.at(i) = 2513CrdSys::draw dataY.at(i) = 2701CrdSys::draw dataY.at(i) = 7CrdSys::draw dataY.at(i) = 21CrdSys::draw dataY.at(i) = 36CrdSys::draw dataY.at(i) = 39CrdSys::draw dataY.at(i) = 53CrdSys::draw dataY.at(i) = 95CrdSys::draw dataY.at(i) = 125CrdSys::draw dataY.at(i) = 138CrdSys::draw dataY.at(i) = 168CrdSys::draw dataY.at(i) = 204CrdSys::draw dataY.at(i) = 202CrdSys::draw dataY.at(i) = 243CrdSys::draw dataY.at(i) = 285CrdSys::draw dataY.at(i) = 328CrdSys::draw dataY.at(i) = 336CrdSys::draw dataY.at(i) = 423CrdSys::draw dataY.at(i) = 474CrdSys::draw dataY.at(i) = 510CrdSys::draw dataY.at(i) = 456CrdSys::draw dataY.at(i) = 565CrdSys::draw dataY.at(i) = 537CrdSys::draw dataY.at(i) = 668CrdSys::draw dataY.at(i) = 816CrdSys::draw dataY.at(i) = 788CrdSys::draw dataY.at(i) = 835CrdSys::draw dataY.at(i) = 957CrdSys::draw dataY.at(i) = 1048CrdSys::draw dataY.at(i) = 1081CrdSys::draw dataY.at(i) = 1040CrdSys::draw dataY.at(i) = 1160CrdSys::draw dataY.at(i) = 1299CrdSys::draw dataY.at(i) = 1468CrdSys::draw dataY.at(i) = 1427CrdSys::draw dataY.at(i) = 1549CrdSys::draw dataY.at(i) = 1461CrdSys::draw dataY.at(i) = 1688CrdSys::draw dataY.at(i) = 1862CrdSys::draw dataY.at(i) = 1822CrdSys::draw dataY.at(i) = 1829CrdSys::draw dataY.at(i) = 1820CrdSys::draw dataY.at(i) = 2141CrdSys::draw dataY.at(i) = 2281CrdSys::draw dataY.at(i) = 2278CrdSys::draw dataY.at(i) = 2278CrdSys::draw dataY.at(i) = 2674CrdSys::draw dataY.at(i) = 2718CrdSys::draw dataY.at(i) = 2687CrdSys::draw dataY.at(i) = 2653CrdSys::draw dataY.at(i) = 2814CrdSys::draw dataY.at(i) = 2835CrdSys::draw dataY.at(i) = 1CrdSys::draw dataY.at(i) = 6CrdSys::draw dataY.at(i) = 15CrdSys::draw dataY.at(i) = 28CrdSys::draw dataY.at(i) = 45CrdSys::draw dataY.at(i) = 66CrdSys::draw dataY.at(i) = 91CrdSys::draw dataY.at(i) = 120CrdSys::draw dataY.at(i) = 153CrdSys::draw dataY.at(i) = 190CrdSys::draw dataY.at(i) = 231CrdSys::draw dataY.at(i) = 276CrdSys::draw dataY.at(i) = 325CrdSys::draw dataY.at(i) = 378CrdSys::draw dataY.at(i) = 435CrdSys::draw dataY.at(i) = 496CrdSys::draw dataY.at(i) = 561CrdSys::draw dataY.at(i) = 630CrdSys::draw dataY.at(i) = 703CrdSys::draw dataY.at(i) = 780CrdSys::draw dataY.at(i) = 861CrdSys::draw dataY.at(i) = 946CrdSys::draw dataY.at(i) = 1035CrdSys::draw dataY.at(i) = 1128CrdSys::draw dataY.at(i) = 1225CrdSys::draw dataY.at(i) = 1326CrdSys::draw dataY.at(i) = 1431CrdSys::draw dataY.at(i) = 1540CrdSys::draw dataY.at(i) = 1653CrdSys::draw dataY.at(i) = 1770CrdSys::draw dataY.at(i) = 1891CrdSys::draw dataY.at(i) = 2016CrdSys::draw dataY.at(i) = 2145CrdSys::draw dataY.at(i) = 2278CrdSys::draw dataY.at(i) = 2415CrdSys::draw dataY.at(i) = 2556CrdSys::draw dataY.at(i) = 2701CrdSys::draw dataY.at(i) = 2850CrdSys::draw dataY.at(i) = 3003CrdSys::draw dataY.at(i) = 3160CrdSys::draw dataY.at(i) = 3321CrdSys::draw dataY.at(i) = 3486CrdSys::draw dataY.at(i) = 3655CrdSys::draw dataY.at(i) = 3828CrdSys::draw dataY.at(i) = 4005CrdSys::draw dataY.at(i) = 4186CrdSys::draw dataY.at(i) = 4371CrdSys::draw dataY.at(i) = 4560CrdSys::draw dataY.at(i) = 4753CrdSys::draw dataY.at(i) = 4950CrdSys::draw dataY.at(i) = 4CrdSys::draw dataY.at(i) = 11CrdSys::draw dataY.at(i) = 21CrdSys::draw dataY.at(i) = 28CrdSys::draw dataY.at(i) = 38CrdSys::draw dataY.at(i) = 57CrdSys::draw dataY.at(i) = 64CrdSys::draw dataY.at(i) = 68CrdSys::draw dataY.at(i) = 75CrdSys::draw dataY.at(i) = 85CrdSys::draw dataY.at(i) = 98CrdSys::draw dataY.at(i) = 108CrdSys::draw dataY.at(i) = 121CrdSys::draw dataY.at(i) = 131CrdSys::draw dataY.at(i) = 138CrdSys::draw dataY.at(i) = 145CrdSys::draw dataY.at(i) = 161CrdSys::draw dataY.at(i) = 171CrdSys::draw dataY.at(i) = 184CrdSys::draw dataY.at(i) = 197CrdSys::draw dataY.at(i) = 195CrdSys::draw dataY.at(i) = 211CrdSys::draw dataY.at(i) = 218CrdSys::draw dataY.at(i) = 228CrdSys::draw dataY.at(i) = 235CrdSys::draw dataY.at(i) = 248CrdSys::draw dataY.at(i) = 261CrdSys::draw dataY.at(i) = 268CrdSys::draw dataY.at(i) = 275CrdSys::draw dataY.at(i) = 291CrdSys::draw dataY.at(i) = 301CrdSys::draw dataY.at(i) = 308CrdSys::draw dataY.at(i) = 315CrdSys::draw dataY.at(i) = 316CrdSys::draw dataY.at(i) = 338CrdSys::draw dataY.at(i) = 348CrdSys::draw dataY.at(i) = 361CrdSys::draw dataY.at(i) = 368CrdSys::draw dataY.at(i) = 381CrdSys::draw dataY.at(i) = 391CrdSys::draw dataY.at(i) = 398CrdSys::draw dataY.at(i) = 396CrdSys::draw dataY.at(i) = 418CrdSys::draw dataY.at(i) = 419CrdSys::draw dataY.at(i) = 441CrdSys::draw dataY.at(i) = 448CrdSys::draw dataY.at(i) = 464CrdSys::draw dataY.at(i) = 447CrdSys::draw dataY.at(i) = 484CrdSys::draw dataY.at(i) = 485BInsertSort : comps[1], swaps[4]
BInsertSort : comps[7], swaps[17]
BInsertSort : comps[17], swaps[35]
BInsertSort : comps[25], swaps[49]
BInsertSort : comps[41], swaps[71]
BInsertSort : comps[49], swaps[92]
